neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
5.50,0.4211,123
2.1172,0.4146,99
3.1431,0.4047,680
3.1156,0.4044,79
5.1657,0.3999,133
5.1337,0.3968,2332
4.1059,0.3866,268
0.1197,0.3724,137
1.302,0.3708,160
4.1420,0.3697,187
1.1156,0.3605,129
3.1427,0.3603,1393
1.15,0.3579,185
2.580,0.3577,141
2.78,0.3559,105
0.152,0.3556,290
5.1349,0.3546,161
2.638,0.3525,152
5.1907,0.3516,579
2.83,0.3508,140
0.1596,0.3491,1730
0.569,0.3472,83
2.1309,0.3455,275
1.1694,0.3442,1280
1.16,0.3434,516
3.1830,0.3410,188
1.309,0.3409,141
3.609,0.3396,248
0.1593,0.3389,223
1.1700,0.3375,267
3.559,0.3363,468
3.608,0.3358,1055
1.1693,0.3344,241
0.1196,0.3332,840
4.607,0.3318,490
1.1703,0.3307,649
3.1833,0.3303,817
1.306,0.3297,109
3.1829,0.3292,97
3.1428,0.3282,252
1.932,0.3280,813
2.1016,0.3278,2478
0.1605,0.3269,641
3.976,0.3268,2329
1.1691,0.3265,942
0.1590,0.3261,346
5.1336,0.3261,821
2.81,0.3258,781
5.1334,0.3249,369
2.1551,0.3247,964
0.146,0.3241,88
3.978,0.3231,485
5.1909,0.3211,348
5.1723,0.3211,374
3.1834,0.3211,1284
3.613,0.3207,154
5.1301,0.3206,218
3.610,0.3204,301
0.156,0.3193,101
1.1707,0.3188,1384
2.1310,0.3180,583
1.1706,0.3179,643
3.1836,0.3174,133
3.1832,0.3160,233
1.1690,0.3146,234
2.84,0.3120,374
0.1195,0.3120,416
3.970,0.3112,281
1.1701,0.3109,238
5.1332,0.3108,513
5.1347,0.3091,92
1.581,0.3091,101
0.1194,0.3069,304
5.1348,0.3068,308
5.1335,0.3057,208
1.1689,0.3050,120
0.434,0.3047,152
3.1831,0.3029,162
3.1827,0.3027,149
3.611,0.2987,332
1.587,0.2974,255
5.1302,0.2966,245
3.1828,0.2953,222
1.931,0.2944,101
3.612,0.2943,143
1.1692,0.2938,164
2.1552,0.2929,134
1.1704,0.2888,106
5.1910,0.2887,112
2.82,0.2829,79
0.159,0.2791,115
0.1592,0.2789,229
3.1826,0.2784,105
0.1591,0.2739,90
1.1709,0.2719,76
3.979,0.2707,79
1.1708,0.2645,117
0.154,0.2626,98
5.1333,0.2611,135
1.580,0.1965,81

k = 22
,length,score
2.218,0.9930,6138
5.536,0.9921,3589
1.714,0.9910,4841
2.104,0.9879,1903
4.84,0.9842,1988
4.1439,0.9830,1624
3.1231,0.9733,481
5.56,0.9696,798
4.1438,0.9666,1155
1.1345,0.9622,632
3.1881,0.9593,742
1.1518,0.9578,829
4.818,0.9576,1860
0.1410,0.9571,587
4.1546,0.9550,631
3.1606,0.9537,95
2.83,0.9536,1637
3.828,0.9533,1285
1.345,0.9528,489
0.622,0.9526,605
2.485,0.9523,535
0.304,0.9518,661
5.655,0.9517,512
2.468,0.9511,476
5.759,0.9508,542
1.1640,0.9500,733
4.59,0.9496,502
5.754,0.9464,2748
3.1510,0.9450,191
1.704,0.9440,568
3.781,0.9416,381
5.1076,0.9409,868
2.1327,0.9399,441
1.340,0.9397,318
5.459,0.9388,312
3.1884,0.9375,1320
2.619,0.9371,439
2.1376,0.9349,161
4.672,0.9320,227
1.1059,0.9317,90
1.709,0.9293,262
2.461,0.9267,225
1.1259,0.9253,384
0.1381,0.9239,157
4.1231,0.9217,274
0.730,0.9215,367
0.131,0.9205,220
2.1009,0.9203,391
2.1500,0.9198,291
1.1273,0.9195,273
4.677,0.9195,641
0.713,0.9180,233
3.286,0.9178,289
5.448,0.9176,187
0.843,0.9161,154
3.1355,0.9158,190
5.237,0.9136,1362
1.792,0.9110,232
4.1548,0.9108,188
0.184,0.9086,103
5.1854,0.9082,232
0.1041,0.9079,290
1.790,0.9075,319
3.1826,0.9071,140
1.632,0.9060,349
4.832,0.9042,88
4.767,0.9034,352
5.1229,0.9022,136
4.162,0.9016,202
2.82,0.9015,1003
3.1613,0.9015,6548
2.944,0.8993,165
4.768,0.8989,278
4.440,0.8988,96
1.1771,0.8985,226
5.1642,0.8970,271
2.1357,0.8967,255
1.1778,0.8949,921
5.1306,0.8928,219
0.893,0.8890,201
4.87,0.8888,4133
3.939,0.8886,190
3.1257,0.8877,106
4.1245,0.8868,1006
0.214,0.8860,148
3.1816,0.8836,114
1.1548,0.8826,243
3.778,0.8823,242
5.93,0.8809,108
0.337,0.8787,105
0.182,0.8785,142
4.1472,0.8772,171
4.139,0.8763,183
0.1857,0.8737,298
5.381,0.8736,108
3.1923,0.8722,90
4.1330,0.8718,152
4.674,0.8716,759
2.1143,0.8670,89
0.407,0.8660,154
5.380,0.8657,117
4.310,0.8654,154
5.207,0.8653,132
4.467,0.8645,102
3.432,0.8636,619
4.1413,0.8601,525
1.15,0.8576,192
5.829,0.8563,1016
4.773,0.8556,115
5.1404,0.8555,8798
0.1523,0.8552,106
2.976,0.8511,267
5.1078,0.8499,178
4.1171,0.8482,100
0.838,0.8482,2306
4.673,0.8478,89
4.85,0.8453,2630
0.790,0.8417,163
4.1358,0.8413,92
3.1696,0.8399,120
2.1218,0.8345,189
4.740,0.8337,571
5.1005,0.8332,195
3.937,0.8329,117
0.1873,0.8322,107
3.214,0.8321,145
3.1603,0.8309,97
3.1196,0.8304,103
3.866,0.8266,163
2.1001,0.8261,109
5.1234,0.8251,115
4.739,0.8251,109
3.63,0.8245,104
4.800,0.8208,113
3.1853,0.8195,1425
3.1852,0.8182,1942
1.1253,0.8165,2940
0.382,0.8116,782
3.1854,0.8114,1502
0.832,0.8104,816
0.1816,0.8080,1987
2.1046,0.8073,158
5.750,0.8070,131
1.1466,0.8063,101
5.818,0.8057,717
1.199,0.8044,90
5.833,0.8032,778
5.1383,0.8029,116
1.92,0.8022,268
5.1726,0.8002,646
0.515,0.7991,117
0.109,0.7952,559
0.1065,0.7948,875
3.1777,0.7898,105
0.1411,0.7889,99
1.930,0.7889,1706
1.715,0.7888,802
1.334,0.7885,145
2.1386,0.7847,499
0.534,0.7797,2381
3.1609,0.7785,145
1.1098,0.7784,141
4.86,0.7774,509
2.1212,0.7763,262
1.1258,0.7746,402
1.1510,0.7703,274
5.832,0.7699,209
2.1387,0.7672,380
0.1632,0.7581,212
3.1859,0.7571,233
5.412,0.7571,89
0.969,0.7568,335
5.751,0.7513,173
5.397,0.7459,167
0.1247,0.7434,2800
2.692,0.7387,4989
3.1333,0.7339,1561
5.1640,0.7336,572
1.1255,0.7305,209
0.1251,0.7185,317
0.834,0.7140,1893
5.1658,0.7060,175
1.299,0.7008,407
0.1374,0.6979,88
4.1200,0.6814,1061
4.1246,0.6749,89
2.1766,0.6624,2801
1.573,0.6616,2136
5.1648,0.6597,2431
5.1724,0.6596,406
3.945,0.6547,1756
4.1271,0.6537,1377
4.1268,0.6523,267
2.717,0.6456,3774
3.1408,0.6370,663
3.746,0.6269,428
2.953,0.6247,3760
4.1259,0.6237,597
0.1199,0.6189,1080
3.748,0.6171,1534
3.1409,0.6162,909
3.747,0.6006,1384
5.1891,0.5943,97
0.836,0.5926,119
0.536,0.5887,154
0.1560,0.5875,88
0.303,0.5816,103
5.685,0.5804,109
2.836,0.5760,979
5.863,0.5606,168
2.628,0.5590,306
4.820,0.5553,489
0.1208,0.5272,3186
0.1617,0.5265,280
3.457,0.5257,887
0.535,0.5228,89
2.448,0.5205,347
5.1679,0.5126,153
5.1634,0.5068,813
5.798,0.4964,5784
5.400,0.4886,3402
0.749,0.4883,1043
5.1311,0.4869,688
0.1057,0.4868,1496
0.736,0.4854,138
5.1347,0.4851,430
5.452,0.4835,694
5.1678,0.4819,507
5.1629,0.4778,1348
1.1189,0.4774,6630
5.797,0.4738,491
5.799,0.4728,240
0.621,0.4681,214
0.1058,0.4653,441
0.748,0.4626,257
5.949,0.4589,4804
3.1835,0.4588,475
3.640,0.4529,165
4.1478,0.4511,217
2.927,0.4499,985
3.459,0.4437,153
3.460,0.4389,215
3.462,0.4360,254
1.295,0.4280,1645
3.464,0.4153,131
